case_type,model,split,article_id,event_trading_date,ticker,category,sentiment_label,general_sentiment,y_true,y_pred,absolute_error,title
lowest_error,GNN Correlation Only,test,N054079,2025-12-01,VCB,other,neutral,0.0,0.0126862162724137,0.012687467,1.250727586299752e-06,VCB: Thông báo thay đổi địa chỉ trụ sở 01 CN và 03 Phòng GD
lowest_error,GNN Correlation Only,test,N054079,2025-12-01,VCB,other,neutral,0.0,0.0126862162724137,0.012687467,1.250727586299752e-06,VCB: Thông báo thay đổi địa chỉ trụ sở 01 CN và 03 Phòng GD
lowest_error,GNN Correlation Only,test,N050678,2025-09-10,HAH,other,neutral,0.0,0.0203007142990827,0.020305954,5.239700917300527e-06,CÔNG TY CỔ PHẦN VẬN TẢI VÀ XẾP DỠ HẢI AN Báo cáo tài chính Bán niên (Kỳ báo cáo từ 01/01/2025 đến 30/06/2025) năm 2025
lowest_error,GNN Correlation Only,test,N050678,2025-09-10,HAH,other,neutral,0.0,0.0203007142990827,0.020305969,5.254700917299571e-06,CÔNG TY CỔ PHẦN VẬN TẢI VÀ XẾP DỠ HẢI AN Báo cáo tài chính Bán niên (Kỳ báo cáo từ 01/01/2025 đến 30/06/2025) năm 2025
lowest_error,GNN Correlation Only,test,N054335,2025-12-08,GAS,other,neutral,0.0,0.0141940778121352,0.014200382,6.304187864798749e-06,GAS: CBTT nhận được các giấy chứng nhận ĐK hoạt động DN
lowest_error,GNN Correlation Only,test,N054335,2025-12-08,GAS,other,neutral,0.0,0.0141940778121352,0.014200382,6.304187864798749e-06,GAS: CBTT nhận được các giấy chứng nhận ĐK hoạt động DN
lowest_error,GNN Correlation Only,test,N050685,2025-09-10,MBB,debt_bond,neutral,0.0,0.016557665541768,0.016570307,1.264145823199822e-05,CBTT về việc đăng ký giao dịch trái phiếu MBB12520 của NGÂN HÀNG TMCP QUÂN ĐỘI
lowest_error,GNN Correlation Only,test,N050685,2025-09-10,MBB,debt_bond,neutral,0.0,0.016557665541768,0.016570307,1.264145823199822e-05,CBTT về việc đăng ký giao dịch trái phiếu MBB12520 của NGÂN HÀNG TMCP QUÂN ĐỘI
lowest_error,GNN Correlation Only,test,N051506,2025-10-06,SCR,ma_ownership,neutral,0.0,0.025582980364561,0.025564887,1.809336456099972e-05,TTC Land muốn nhận chuyển nhượng hơn 27.5 triệu cp tại dự án Cù lao Tân Vạn
lowest_error,GNN Correlation Only,test,N051506,2025-10-06,SCR,ma_ownership,neutral,0.0,0.025582980364561,0.025564887,1.809336456099972e-05,TTC Land muốn nhận chuyển nhượng hơn 27.5 triệu cp tại dự án Cù lao Tân Vạn
